GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
0500000US04019,04019,"Pima County, Arizona",326,Plastics and rubber products manufacturing,2007,29,710,G,7368,H,28412,G
0500000US04021,04021,"Pinal County, Arizona",326,Plastics and rubber products manufacturing,2007,8,290,H,2019,G,8417,G
0500000US04023,04023,"Santa Cruz County, Arizona",326,Plastics and rubber products manufacturing,2007,1,c,D,D,D,D,D
0500000US04025,04025,"Yavapai County, Arizona",326,Plastics and rubber products manufacturing,2007,6,e,D,D,D,D,D
0500000US04027,04027,"Yuma County, Arizona",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US05001,05001,"Arkansas County, Arkansas",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US05003,05003,"Ashley County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05005,05005,"Baxter County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,e,D,D,D,D,D
0500000US05007,05007,"Benton County, Arkansas",326,Plastics and rubber products manufacturing,2007,19,2074,G,19500,G,81497,G
0500000US05009,05009,"Boone County, Arkansas",326,Plastics and rubber products manufacturing,2007,7,133,G,993,G,4380,H
0500000US05021,05021,"Clay County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05027,05027,"Columbia County, Arkansas",326,Plastics and rubber products manufacturing,2007,5,173,H,1606,H,6563,G
0500000US05029,05029,"Conway County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05031,05031,"Craighead County, Arkansas",326,Plastics and rubber products manufacturing,2007,5,271,G,2756,G,10535,G
0500000US05033,05033,"Crawford County, Arkansas",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US05035,05035,"Crittenden County, Arkansas",326,Plastics and rubber products manufacturing,2007,4,b,D,D,D,D,D
0500000US05037,05037,"Cross County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05043,05043,"Drew County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US05045,05045,"Faulkner County, Arkansas",326,Plastics and rubber products manufacturing,2007,5,177,H,1567,H,6220,G
0500000US05049,05049,"Fulton County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US05051,05051,"Garland County, Arkansas",326,Plastics and rubber products manufacturing,2007,7,686,H,4036,G,16662,G
0500000US05055,05055,"Greene County, Arkansas",326,Plastics and rubber products manufacturing,2007,4,f,D,D,D,D,D
0500000US05057,05057,"Hempstead County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US05059,05059,"Hot Spring County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,c,D,D,D,D,D
0500000US05061,05061,"Howard County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,c,D,D,D,D,D
0500000US05063,05063,"Independence County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,e,D,D,D,D,D
0500000US05069,05069,"Jefferson County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US05071,05071,"Johnson County, Arkansas",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US05075,05075,"Lawrence County, Arkansas",326,Plastics and rubber products manufacturing,2007,5,213,H,1164,H,5672,H
0500000US05085,05085,"Lonoke County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US05087,05087,"Madison County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05089,05089,"Marion County, Arkansas",326,Plastics and rubber products manufacturing,2007,3,537,H,2838,H,11479,H
0500000US05091,05091,"Miller County, Arkansas",326,Plastics and rubber products manufacturing,2007,3,g,D,D,D,D,D
0500000US05093,05093,"Mississippi County, Arkansas",326,Plastics and rubber products manufacturing,2007,5,451,G,5324,G,20940,G
0500000US05097,05097,"Montgomery County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05099,05099,"Nevada County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,f,D,D,D,D,D
0500000US05103,05103,"Ouachita County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05111,05111,"Poinsett County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US05113,05113,"Polk County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,a,D,D,D,D,D
0500000US05115,05115,"Pope County, Arkansas",326,Plastics and rubber products manufacturing,2007,4,362,G,3623,G,13039,G
0500000US05119,05119,"Pulaski County, Arkansas",326,Plastics and rubber products manufacturing,2007,16,1009,G,9360,G,38376,G
0500000US05123,05123,"St. Francis County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US05127,05127,"Scott County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US05129,05129,"Searcy County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05131,05131,"Sebastian County, Arkansas",326,Plastics and rubber products manufacturing,2007,11,556,H,4581,H,16543,G
0500000US05139,05139,"Union County, Arkansas",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US05141,05141,"Van Buren County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US05143,05143,"Washington County, Arkansas",326,Plastics and rubber products manufacturing,2007,3,b,D,D,D,D,D
0500000US05145,05145,"White County, Arkansas",326,Plastics and rubber products manufacturing,2007,4,e,D,D,D,D,D
0500000US05147,05147,"Woodruff County, Arkansas",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US06001,06001,"Alameda County, California",326,Plastics and rubber products manufacturing,2007,94,3649,G,36259,G,152797,G
0500000US06007,06007,"Butte County, California",326,Plastics and rubber products manufacturing,2007,14,266,G,2297,G,8943,G
0500000US06009,06009,"Calaveras County, California",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US06011,06011,"Colusa County, California",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US06013,06013,"Contra Costa County, California",326,Plastics and rubber products manufacturing,2007,15,337,H,4554,G,16453,G
0500000US06017,06017,"El Dorado County, California",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US06019,06019,"Fresno County, California",326,Plastics and rubber products manufacturing,2007,23,904,G,7575,H,30455,H
0500000US06023,06023,"Humboldt County, California",326,Plastics and rubber products manufacturing,2007,4,b,D,D,D,D,D
0500000US06025,06025,"Imperial County, California",326,Plastics and rubber products manufacturing,2007,3,b,D,D,D,D,D
0500000US06027,06027,"Inyo County, California",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US06029,06029,"Kern County, California",326,Plastics and rubber products manufacturing,2007,11,600,G,5458,H,21565,H
