"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), for "" All industries,"" for ""<a href=https://iaspub.epa.gov/triexplorer/tri_text.list_chemical_osha>Occupational Safety and Health Administration (OSHA) Chemicals, ""U.S., ""1990"
"Row #","Chemical","CAS Number","Fugitive Air","Stack Air","Total Air","Surface Water","Total","Total","Land Treatment/","Total Surface","Other Land","Total On-site","Total On-site","Off-Site","Off-Site","Off-Site","Total Off-Site","POTWs (Metal","Total Off-Site","Off-Site","Off-Site Disposal-","Off-Site Disposal-","Off-Site","Off-Site","Total Off-site","Total On- and "
"","","","","","Emissions","Discharges","Underground","","Application","Impoundments","Disposal","Releases to","Disposal or","Disposal-","Disposal-","Disposal-","Disposal-","and Metal","Disposal-","Disposal-","Disposal-","Disposal-","Disposal-","Disposal-","Disposal or","Off-site"
"","","","","","","","Injection","","Farming","","","Land","Other Releases","Storage Only","Solidification","Treatment-","Underground","Compounds)","Landfill/Surf.","Land Treatment","Other Land","Other Off-site","Waste Broker","Unknown","Other Releases","Disposal or"
"","","","","","","","","","","","","","","","/Stabilization (Metals Only)","Treatment-Metals Only","Injection","","Surface Impoundments","","Disposal","Management","","","","Other Releases"
"80","NICKEL COMPOUNDS","N495","         147,914.0000000","         113,512.0000000","         261,426.0000000","          92,490.0000000","         259,827.0000000","         636,727.0000000","          24,066.0000000","       1,104,806.0000000","         358,427.0000000","       2,124,026.0000000","       2,737,769.0000000","           9,093.0000000","       1,530,077.0000000","         719,822.0000000","          23,815.0000000","         200,949.0000000","       3,571,480.0000000","          68,010.0000000","          76,280.0000000","          26,033.0000000","          70,213.0000000","          59,228.0000000","       6,355,000.0000000","       9,092,769.0000000"
"81","NITRILOTRIACETIC ACID","000139139","              25.0000000","           1,000.0000000","           1,025.0000000","           7,700.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           8,725.0000000",".",".",".",".",".",".",".",".",".",".",".",".","           8,725.0000000"
"82","NITROBENZENE","000098953","          51,283.0000000","          16,061.0000000","          67,344.0000000","           2,624.0000000","         608,000.0000000","           3,250.0000000","               5.0000000","                .0000000","                .0000000","           3,255.0000000","         681,223.0000000",".",".",".","           1,044.0000000",".","           2,140.0000000",".",".",".","             135.0000000",".","           3,319.0000000","         684,542.0000000"
"83","O-ANISIDINE","000090040","             500.0000000","           1,341.0000000","           1,841.0000000","             141.0000000","                .0000000","                .0000000","             250.0000000","                .0000000","                .0000000","             250.0000000","           2,232.0000000",".",".",".",".",".","                .0000000",".","              93.0000000",".",".",".","              93.0000000","           2,325.0000000"
"84","O-TOLUIDINE","000095534","           5,388.0000000","           2,055.0000000","           7,443.0000000","             250.0000000","          11,250.0000000","                .0000000","                .0000000","           8,486.0000000","                .0000000","           8,486.0000000","          27,429.0000000",".",".",".",".",".","           1,055.0000000",".",".",".",".",".","           1,055.0000000","          28,484.0000000"
"85","P-CRESIDINE","000120718","           2,607.0000000","              83.0000000","           2,690.0000000","                .0000000","                .0000000","                .0000000","             250.0000000","                .0000000","                .0000000","             250.0000000","           2,940.0000000",".",".",".",".",".",".",".",".",".",".",".",".","           2,940.0000000"
"86","PENTACHLOROPHENOL","000087865","          15,512.0000000","           7,699.0000000","          23,211.0000000","           2,577.0000000","                .0000000","             790.0000000","                .0000000","                .0000000","           1,156.0000000","           1,946.0000000","          27,734.0000000",".",".",".",".",".","           4,297.0000000",".","             250.0000000",".",".","           1,300.0000000","           5,847.0000000","          33,581.0000000"
"87","POLYCHLORINATED BIPHENYLS","001336363","              10.0000000","               5.0000000","              15.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","          71,366.0000000","          71,366.0000000","          71,381.0000000","          22,683.0000000",".",".",".",".","         241,474.0000000",".","             250.0000000","               5.0000000","          22,032.0000000","             250.0000000","         286,694.0000000","         358,075.0000000"
"88","PROPYLENE OXIDE","000075569","         498,002.0000000","         951,190.0000000","       1,449,192.0000000","          70,781.0000000","         120,005.0000000","               5.0000000","           1,905.0000000","               5.0000000","           1,978.0000000","           3,893.0000000","       1,643,871.0000000",".",".",".","           4,057.0000000",".","           3,850.0000000","             138.0000000",".",".","              10.0000000",".","           8,055.0000000","       1,651,926.0000000"
"89","PROPYLENEIMINE","000075558","             293.0000000","             318.0000000","             611.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             611.0000000",".",".",".",".",".",".",".",".",".",".",".",".","             611.0000000"
"90","SAFROLE","000094597","               5.0000000","                .0000000","               5.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000",".",".",".",".",".",".",".",".",".",".",".",".","               5.0000000"
"91","STYRENE","000100425","      12,739,061.0000000","      19,088,291.0000000","      31,827,352.0000000","          37,438.0000000","          29,035.0000000","         128,808.0000000","          26,327.0000000","              35.0000000","           5,113.0000000","         160,283.0000000","      32,054,108.0000000","             988.0000000",".",".","         141,433.0000000",".","       1,878,518.0000000","           2,500.0000000","         808,703.0000000","          11,365.0000000","          58,801.0000000","         324,295.0000000","       3,226,603.0000000","      35,280,711.0000000"
"92","STYRENE OXIDE","000096093","           1,535.0000000","             888.0000000","           2,423.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           2,423.0000000",".",".",".",".",".","                .0000000",".",".",".",".",".","                .0000000","           2,423.0000000"
"93","TETRACHLOROETHYLENE","000127184","       9,425,138.0000000","      13,616,584.0000000","      23,041,722.0000000","          21,510.0000000","          11,012.0000000","              10.0000000","             260.0000000","              10.0000000","             980.0000000","           1,260.0000000","      23,075,504.0000000","          41,658.0000000",".",".","             255.0000000",".","          22,535.0000000",".","             676.0000000","         197,672.0000000","         477,361.0000000","          56,689.0000000","         796,846.0000000","      23,872,350.0000000"
"94","THIOACETAMIDE","000062555","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".",".",".",".",".","                .0000000"
"95","THIOUREA","000062566","           2,305.0000000","             570.0000000","           2,875.0000000","             572.0000000","           4,800.0000000","               5.0000000","                .0000000","             250.0000000","              10.0000000","             265.0000000","           8,512.0000000",".",".",".",".",".","             950.0000000",".",".","             250.0000000","             800.0000000","               5.0000000","           2,005.0000000","          10,517.0000000"
"96","TOLUENE DIISOCYANATE (MIXED ISOMERS)","026471625","          17,814.0000000","          33,498.0000000","          51,312.0000000","              10.0000000","                .0000000","               5.0000000","                .0000000","                .0000000","             250.0000000","             255.0000000","          51,577.0000000",".",".",".",".",".","          32,683.0000000",".","             250.0000000","               2.0000000","             448.0000000","             250.0000000","          33,633.0000000","          85,210.0000000"
"97","TOLUENE-2,4-DIISOCYANATE","000584849","          19,112.0000000","          38,322.0000000","          57,434.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000","               5.0000000","          57,439.0000000",".",".",".",".",".","           8,363.0000000",".",".",".","             500.0000000",".","           8,863.0000000","          66,302.0000000"
"98","TOLUENE-2,6-DIISOCYANATE","000091087","           6,273.0000000","          19,605.0000000","          25,878.0000000","               5.0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000","               5.0000000","          25,888.0000000",".",".",".",".",".","           2,031.0000000",".",".",".","                .0000000",".","           2,031.0000000","          27,919.0000000"
